air_temp,air_temp_diff,caught,crew_count,date,dew_point,dew_point_diff,end_time,fish_length,fish_type,gust_speed,gust_speed_diff,hook_rate,hooked,hours_fishing,location,month,pressure,pressure_diff,season,start_time,time,time_period,trolling_speed,water_depth,weather,wind_dir,wind_dir_diff,wind_speed,wind_speed_diff,year
3.56,-1.9,1.0,1.0,2010-03-18,,,2010-03-18 19:25:00,20.0,Coho,2.1399999999999997,0.06999999999999984,0.5454545454545455,1.0,1.8333333333333333,Upper Harbor,3.0,1007.15,-0.32999999999992724,spring,2010-03-18 17:35:00,2010-03-18 18:30:00,evening,2.7,34.0,Partly Cloudy,116.7,78.7,1.5,0.3800000000000001,2010.0
-2.16,-0.43000000000000016,5.0,1.0,2010-03-20,,,2010-03-20 19:30:00,19.8,Coho,3.18,-0.7199999999999998,0.5555555555555556,5.0,9.0,Lower Harbor,3.0,1024.1399999999999,-0.4900000000000091,spring,2010-03-20 10:30:00,2010-03-20 18:30:00,evening,2.66,35.2,Clear,48.2,27.900000000000002,1.7399999999999998,0.23999999999999977,2010.0
7.909999999999999,1.1799999999999997,2.0,1.0,2010-03-21,,,2010-03-21 18:55:00,20.0,Coho,6.45,0.9900000000000002,0.7058823529411764,2.0,2.833333333333333,Upper Harbor,3.0,1016.89,-0.8100000000000591,spring,2010-03-21 16:05:00,2010-03-21 18:30:00,evening,2.8,83.0,Clear,242.3,-4.299999999999983,3.29,0.6299999999999999,2010.0
2.6399999999999997,0.2699999999999996,1.0,1.0,2010-03-23,,,2010-03-23 18:25:00,29.0,Lake Trout,2.48,-1.6300000000000003,0.5454545454545455,1.0,1.8333333333333333,Lower Harbor Lighthouse,3.0,1013.18,-0.35000000000002274,spring,2010-03-23 16:35:00,2010-03-23 17:30:00,afternoon,2.8,65.0,Clear,156.7,88.79999999999998,1.49,-1.16,2010.0
5.4,-0.6799999999999997,1.0,1.0,2010-04-01,,,2010-04-01 19:25:00,22.0,Lake Trout,3.15,0.7399999999999998,0.5454545454545455,1.0,1.8333333333333333,Lower Harbor Lighthouse,4.0,1006.6700000000001,-1.1899999999999409,spring,2010-04-01 17:35:00,2010-04-01 18:30:00,evening,2.7,65.0,Clear,76.7,32.800000000000004,2.12,0.7,2010.0
11.58,-0.3699999999999992,3.0,1.0,2010-04-03,,,2010-04-03 13:43:45,23.666666666666668,Lake Trout,6.65,-0.9299999999999997,1.1076923076923075,3.0,2.708333333333333,Lower Harbor Lighthouse,4.0,999.57,-0.2099999999999227,spring,2010-04-03 11:01:15,2010-04-03 12:15:00,afternoon,2.7999999999999994,68.33333333333333,Overcast,190.9,-5.900000000000006,3.4699999999999998,0.4399999999999995,2010.0
5.13,0.04999999999999982,1.0,1.0,2010-04-04,,,2010-04-04 14:10:00,27.0,Lake Trout,3.28,-0.8300000000000005,0.5454545454545455,1.0,1.8333333333333333,Lower Harbor Lighthouse,4.0,1011.5,0.009999999999990905,spring,2010-04-04 12:20:00,2010-04-04 13:15:00,afternoon,2.8,65.0,Rain,147.5,-10.800000000000011,2.4899999999999998,-1.0899999999999999,2010.0
4.0600000000000005,1.0900000000000007,2.0,1.0,2010-04-05,,,2010-04-05 15:17:30,24.0,Lake Trout,2.04,0.3599999999999999,0.96,2.0,2.083333333333333,Lower Harbor Lighthouse,4.0,1011.6200000000001,0.4600000000000364,spring,2010-04-05 13:12:30,2010-04-05 14:30:00,afternoon,2.7,67.0,Partly Cloudy,79.7,-38.7,1.01,-0.17000000000000015,2010.0
3.3,0.75,1.0,1.0,2010-04-18,,,2010-04-18 17:25:00,26.0,Lake Trout,4.3100000000000005,-0.03999999999999915,0.5454545454545455,1.0,1.8333333333333333,Lower Harbor Lighthouse,4.0,1026.43,-0.2400000000000091,spring,2010-04-18 15:35:00,2010-04-18 16:30:00,afternoon,2.7,68.0,Clear,108.6,-0.4000000000000057,2.67,-0.21999999999999975,2010.0
4.58,0.4400000000000004,2.0,1.0,2010-04-19,,,2010-04-19 19:30:00,24.0,Lake Trout,1.48,0.1499999999999999,0.8,2.0,2.5,Lower Harbor Lighthouse,4.0,1024.42,-0.5899999999999181,spring,2010-04-19 17:00:00,2010-04-19 17:30:00,afternoon,2.8,68.0,Overcast,109.5,-3.9000000000000057,0.78,-0.10999999999999999,2010.0
