air_temp,air_temp_diff,caught,crew_count,date,dew_point,dew_point_diff,end_time,fish_length,fish_type,gust_speed,gust_speed_diff,hook_rate,hooked,hours_fishing,location,month,pressure,pressure_diff,season,start_time,time,time_period,trolling_speed,water_depth,weather,weight,wind_dir,wind_dir_diff,wind_speed,wind_speed_diff,year
0.9099999999999999,-0.5900000000000001,1.0,1.0,2015-04-15 00:00:00,-5.5,-0.07777777777777839,2015-04-15 09:00:00,25.0,Chinook,1.47,0.61,0.5,1.0,2.0,Lower Harbor,4,1024.69,0.010000000000218279,spring,2015-04-15 07:00:00,2015-04-15 08:00:00,morning,2.5,50.0,Clear,1.0,203.3,21.900000000000006,0.99,0.45999999999999996,2015
10.155555555555557,0.9805555555555561,1.0,1.0,2015-04-16 00:00:00,-2.966666666666667,0.26333333333333275,2015-04-16 21:00:00,23.0,Chinook,2.7199999999999998,-2.83,0.3333333333333333,1.0,3.0,Lower Harbor,4,1014.7,-0.33999999999991815,spring,2015-04-16 18:00:00,2015-04-16 19:30:00,evening,2.7,50.0,Clear,1.0,127.2,3.200000000000003,1.03,-2.5700000000000003,2015
7.925,0.07500000000000018,1.0,1.0,2015-04-28 00:00:00,-0.9666666666666668,,2015-04-28 20:00:00,23.0,Chinook,0.86,-0.2899999999999999,0.3333333333333333,1.0,3.0,Lower Harbor,4,1017.4666666666667,-0.2904761904761699,spring,2015-04-28 17:00:00,2015-04-28 18:30:00,evening,2.5,70.0,Partly Cloudy,1.0,130.4,2.9000000000000057,0.54,0.015000000000000013,2015
13.940000000000001,-0.6400000000000006,1.0,1.0,2015-05-02 00:00:00,2.2199999999999998,0.03999999999999959,2015-05-02 10:00:00,23.0,Lake Trout,3.3200000000000003,-1.6799999999999997,0.3333333333333333,1.0,3.0,Lower Harbor,5,1013.47,-0.03999999999996362,spring,2015-05-02 07:00:00,2015-05-02 08:30:00,morning,2.1,60.0,Overcast,1.0,287.2,11.099999999999966,1.27,-0.8599999999999999,2015
9.49,0.5525000000000002,1.0,1.0,2015-05-20 00:00:00,-4.630000000000001,-1.6175000000000006,2015-05-20 21:00:00,21.0,Lake Trout,1.1400000000000001,-0.2974999999999999,1.0,2.0,2.0,Lower Harbor,5,1018.5799999999999,-0.7075000000000955,spring,2015-05-20 19:00:00,2015-05-20 20:00:00,evening,2.5,70.0,Overcast,1.0,160.9,-6.349999999999994,0.5900000000000001,-0.2599999999999999,2015
11.58,-1.1999999999999993,3.0,2.0,2015-05-24 00:00:00,4.1899999999999995,0.669999999999999,2015-05-24 14:00:00,27.0,Lake Trout,1.21,-0.1499999999999999,0.8,4.0,5.0,Chocolay,5,1019.2299999999999,-0.38000000000010914,spring,2015-05-24 09:00:00,2015-05-24 11:30:00,morning,2.3,60.0,Overcast,0.3333333333333333,221.8,39.10000000000002,0.8,0.020000000000000018,2015
11.58,-1.1999999999999993,3.0,2.0,2015-05-24 00:00:00,4.1899999999999995,0.669999999999999,2015-05-24 14:00:00,25.0,Lake Trout,1.21,-0.1499999999999999,0.8,4.0,5.0,Chocolay,5,1019.2299999999999,-0.38000000000010914,spring,2015-05-24 09:00:00,2015-05-24 11:30:00,morning,2.3,60.0,Overcast,0.3333333333333333,221.8,39.10000000000002,0.8,0.020000000000000018,2015
11.58,-1.1999999999999993,3.0,2.0,2015-05-24 00:00:00,4.1899999999999995,0.669999999999999,2015-05-24 14:00:00,21.0,Lake Trout,1.21,-0.1499999999999999,0.8,4.0,5.0,Chocolay,5,1019.2299999999999,-0.38000000000010914,spring,2015-05-24 09:00:00,2015-05-24 11:30:00,morning,2.3,60.0,Overcast,0.3333333333333333,221.8,39.10000000000002,0.8,0.020000000000000018,2015
15.3,3.0900000000000016,4.0,1.0,2015-05-27 00:00:00,12.42,1.549999999999999,2015-05-27 21:00:00,23.0,Lake Trout,2.94,-0.2999999999999998,1.3333333333333333,4.0,3.0,Lower Harbor,5,1010.05,0.5199999999999818,spring,2015-05-27 18:00:00,2015-05-27 19:30:00,evening,2.5,70.0,Overcast,0.25,106.3,7.5,1.55,-1.18,2015
15.3,3.0900000000000016,4.0,2.0,2015-05-27 00:00:00,12.42,1.549999999999999,2015-05-27 21:00:00,25.0,Lake Trout,2.94,-0.2999999999999998,1.3333333333333333,4.0,3.0,Chocolay,5,1010.05,0.5199999999999818,spring,2015-05-27 18:00:00,2015-05-27 19:30:00,evening,2.5,70.0,Overcast,0.25,106.3,7.5,1.55,-1.18,2015
